Text,Response
1703665569.009752: wl2: Deauthenticate all stations,Deauthenticate
1703665569.012208: wl2: AP-DISABLED,Disconnected
1703665569.012491: wl2: Deauthenticate all stations,Deauthenticate
1703665569.012774: wl2: AP-DISABLED,Disconnected
1703665573.641052: wl2: Deauthenticate all stations at BSS start,Deauthenticate
1703665612.437362: 1703665612.437364: wl2: STA 42:da:44:6c:13:0a WPA: invalid MIC in msg 2/4 of 4-Way Handshake,Invalid password
1703665613.429490: 1703665613.429492: wl2: STA 42:da:44:6c:13:0a WPA: invalid MIC in msg 2/4 of 4-Way Handshake,Invalid password
1703665614.472496: 1703665614.472498: wl2: STA 42:da:44:6c:13:0a WPA: invalid MIC in msg 2/4 of 4-Way Handshake,Invalid password
1703665616.425469: WPA: 42:da:44:6c:13:0a WPA_PTK entering state DISCONNECT,Disconnected
1703665616.425478: wpa_sta_disconnect STA 42:da:44:6c:13:0a (reason 14),Disconnected
1703665616.425489: hostapd_wpa_auth_disconnect: WPA authenticator requests disconnect: STA 42:da:44:6c:13:0a reason 14,Disconnected
1703665616.425500: wl2: ap_sta_disconnect addr 42:da:44:6c:13:0a reason=14,Disconnected
1703665616.426767: wl2: ap_sta_disconnect: reschedule ap_handle_timer timeout for 42:da:44:6c:13:0a (5 seconds - AP_MAX_INACTIVITY_AFTER_DEAUTH),Disconnected
1703665616.426788: WPA: 42:da:44:6c:13:0a WPA_PTK entering state DISCONNECTED,Disconnected
"1703665616.427418: 1703665616.427420: wl2: STA 42:da:44:6c:13:0a MLME: MLME-DEAUTHENTICATE.indication(42:da:44:6c:13:0a, 14)",Deauthenticate
1703665616.850792: 1703665616.850794: wl2: STA 42:da:44:6c:13:0a IEEE 802.11: disassociated,Disassociated
1703665616.851195: WPA: 42:da:44:6c:13:0a WPA_PTK entering state DISCONNECTED,Disconnected
1703665617.697109: 1703665617.697111: wl2: STA 42:da:44:6c:13:0a IEEE 802.11: disassociated,Disassociated
1703665634.821449: 1703665634.821451: wl2: STA 42:da:44:6c:13:0a WPA: invalid MIC in msg 2/4 of 4-Way Handshake,Invalid password
1703665635.819234: 1703665635.819236: wl2: STA 42:da:44:6c:13:0a WPA: invalid MIC in msg 2/4 of 4-Way Handshake,Invalid password
1703665636.821184: 1703665636.821186: wl2: STA 42:da:44:6c:13:0a WPA: invalid MIC in msg 2/4 of 4-Way Handshake,Invalid password
1703665638.139743: 1703665638.139745: wl2: STA 42:da:44:6c:13:0a WPA: invalid MIC in msg 2/4 of 4-Way Handshake,Invalid password
